"1917","2,7,7,7","1,41,43,44"
"1918","7,7","41,44"
"1919","7","44"
"1920","7,7","43,44"
"1921","7","44"
"1922","8","51"
"1923","8","51"
"1924","8","51"
"1925","3","18"
"1926","3","14"
"1927","5","60"
"1928","5","60"
"1929","2","1"
"1930","2,6","1,28"
"1931","2,2,2","1,2,4"
"1932","2,2,2","1,2,4"
"1933","2,2,2","1,2,4"
"1934","2,6","1,32"
"1935","2,6","1,32"
"1936","2,2","1,4"
"1937","2","1"
"1938","2,2,2","1,2,4"
"1939","4,4","6,11"
"1940","4,4","6,7"
"1941","4,4","6,11"
"1942","4,4","6,11"
"1943","4,4","6,7"
"1944","1,6","50,30"
"1945","6","28"
"1946","1,6","50,30"
"1947","6","28"
"1948","6,6","28,35"
"1949","6,6","28,35"
"1950","6,6","28,35"
"1951","7","44"
"1952","7","44"
"1953","7","44"
"1954","7","44"
"1955","7","44"
"1956","6,7,8","30,43,51"
"1957","8","51"
"1958","8","51"
"1959","3","18"
"1960","3","14"
"1961","3","16"
"1962","3","16"
"1963","3","16"
"1964","3","18"
"1965","3","18"
"1966","3","18"
"1967","3","18"
"1968","3","18"
"1969","3","16"
"1970","3","18"
"1971","3","18"
"1972","3","14"
"1973","3","18"
"1974","3","16"
"1975","3","14"
"1976","5","60"
"1977","2,6","1,30"
"1978","2","1,30"
"1979","2","1,30"
"1980","2","1,30"
"1981","2","1,30"
"1982","2","1,30"
"1983","2","1,30"
"1984","2,2","1,4"
"1985","2,2","1,4"
"1986","2,2","1,4"
"1987","2","1"
"1988","4,4","6,11"
"1989","4,4","6,7"
"1990","4,4","6,11"
"1991","4,4","6,7"
"1992","4,4","6,7"
"1993","4,4","6,11"
"1994","4,4","6,11"
"1995","4,4","6,11"
"1996","4,4","6,11"
"1997","4","6"
"1998","4","6"
"1999","4","6"
"2000","4","6"
"2001","4,4","6,11"
"2002","1","50"
"2003","1","50"
"2004","6,7","36,43"
"2005","6","28"
"2006","6,6,7","27,28,41"
"2007","6,6","27,28"
"2008","6","28"
"2009","6","28"
"2010","7","44"
"2011","6,7,7,7","27,39,41,44"
"2012","6,7,7,7","27,39,41,44"
"2013","6,7,7,7","27,39,41,44"
"2014","6,7,7,7","27,39,41,44"
"2015","6,7,7,7","27,39,41,44"
"2016","6,7,7,7","27,39,41,44"
"2017","6,7,7,7","27,39,41,44"
"2018","6,7,7,7","27,39,41,44"
"2019","6,7,7,7","27,39,41,44"
"2020","6,7,7,7","27,39,41,44"
"2021","6,7,7,7","27,39,41,44"
"2022","6,7,7,7","27,39,41,44"
"2023","6,7,7,7,7","27,38,39,41,44"
"2024","6,7,7,7,7","27,38,39,41,44"
"2025","6,7,7,7","27,39,41,44"
"2026","6,7,7,7","27,39,41,44"
"2027","6,7,7,7","27,39,41,44"
"2028","6,7,7,7","27,39,41,44"
"2029","6,7,7,7","27,39,41,44"
"2030","8","51"
"2031","8","51"
"2032","8","51"
"2033","8","51"
"2034","8","51"
"2035","8","51"
"2036","8","51"
"2037","8","51"
"2038","8","51"
"2039","8","51"
"2040","8","54"
"2041","8","51"
"2042","8","51"
"2043","8","51"
"2044","8","51"
"2045","8","51"
"2046","3","14"
"2047","3","14"
"2048","3","14"
"2049","3","18"
"2050","3,6","18,32"
"2051","3,6","18,32"
"2052","3","16"
"2053","3","18"
"2054","3","20"
"2055","5","60"
"2056","5","60"
"2057","5","60"
"2058","2,6","1,30"
"2059","2","1"
"2060","2","1"
"2061","2,2,2","1,2,4"
"2062","2,2,2","1,2,4"
"2063","2,2","2,4"
"2064","2,2","2,4"
"2065","2,2,2","1,2,4"
"2066","2,2,2","1,2,4"
"2067","2,6","1,32"
"2068","2,6","1,32"
"2069","2,6","1,31"
"2070","4,4","6,11"
"2071","4,4","6,11"
"2072","4,4","6,11"
"2073","4","6"
"2074","4","6"
